team,TeamID
Abilene Christian,1101
Air Force,1102
Akron,1103
Alabama,1104
Alabama A&M,1105
Alabama St.,1106
Albany,1107
Alcorn St.,1108
American,1110
Appalachian St.,1111
Arizona,1112
Arizona St.,1113
Arkansas,1116
Arkansas Pine Bluff,1115
Arkansas St.,1117
Army,1119
Auburn,1120
Austin Peay,1122
BYU,1140
Ball St.,1123
Baylor,1124
Bellarmine,1468
Belmont,1125
Bethune Cookman,1126
Binghamton,1127
Boise St.,1129
Boston College,1130
Boston University,1131
Bowling Green,1132
Bradley,1133
Brown,1135
Bryant,1136
Bucknell,1137
Buffalo,1138
Butler,1139
Cal Baptist,1465
Cal Poly,1142
Cal St. Bakersfield,1167
Cal St. Fullerton,1168
Cal St. Northridge,1169
California,1143
Campbell,1144
Canisius,1145
Central Arkansas,1146
Central Connecticut,1148
Central Michigan,1141
Charleston,1158
Charleston Southern,1149
Charlotte,1150
Chattanooga,1151
Chicago St.,1152
Cincinnati,1153
Clemson,1155
Cleveland St.,1156
Coastal Carolina,1157
Colgate,1159
Colorado,1160
Colorado St.,1161
Columbia,1162
Connecticut,1163
Coppin St.,1164
Cornell,1165
Creighton,1166
Dartmouth,1171
Davidson,1172
Dayton,1173
DePaul,1177
Delaware,1174
Delaware St.,1175
Denver,1176
Detroit Mercy,1178
Drake,1179
Drexel,1180
Duke,1181
Duquesne,1182
East Carolina,1187
East Tennessee St.,1190
East Texas A&M,1477
Eastern Illinois,1183
Eastern Kentucky,1184
Eastern Michigan,1185
Eastern Washington,1186
Elon,1189
Evansville,1191
FIU,1198
Fairfield,1193
Fairleigh Dickinson,1192
Florida,1196
Florida A&M,1197
Florida Atlantic,1194
Florida Gulf Coast,1195
Florida St.,1199
Fordham,1200
Fresno St.,1201
Furman,1202
Gardner Webb,1205
George Mason,1206
George Washington,1203
Georgetown,1207
Georgia,1208
Georgia Southern,1204
Georgia St.,1209
Georgia Tech,1210
Gonzaga,1211
Grambling St.,1212
Grand Canyon,1213
Green Bay,1453
Hampton,1214
Hartford,1216
Harvard,1217
Hawaii,1218
High Point,1219
Hofstra,1220
Holy Cross,1221
Houston,1222
Houston Christian,1223
Howard,1224
