team,mid_prob,yes_bid,yes_ask,last,volume,open_interest
Duke,0.20500000000000002,0.2,0.21,0.21,3391282.0,2217052.0
Michigan,0.20500000000000002,0.2,0.21,0.21,3077722.0,1995156.0
Arizona,0.135,0.13,0.14,0.14,3075090.0,1915109.0
Florida,0.11499999999999999,0.11,0.12,0.11,3075992.0,2323014.0
Houston,0.065,0.06,0.07,0.07,2300344.0,1724458.0
UConn,0.055,0.05,0.06,0.05,2828951.0,2265403.0
Illinois,0.045,0.04,0.05,0.04,1843417.0,1563823.0
Iowa St.,0.035,0.03,0.04,0.04,1843335.0,1510077.0
Purdue,0.025,0.02,0.03,0.03,1163602.0,991641.0
Michigan St.,0.02,0.01,0.03,0.03,2252222.0,1890782.0
Kansas,0.015,0.01,0.02,0.02,1755098.0,1442885.0
St. John's,0.015,0.01,0.02,0.02,1325202.0,1201520.0
BYU,0.015,0.01,0.02,0.01,2430367.0,2247269.0
Vanderbilt,0.015,0.01,0.02,0.02,1941248.0,1787958.0
Wisconsin,0.015,0.01,0.02,0.02,2046023.0,1945618.0
Arkansas,0.015,0.01,0.02,0.02,1236582.0,1098958.0
Gonzaga,0.015,0.01,0.02,0.02,1617320.0,1364083.0
Saint Louis,0.01,0.0,0.01,0.01,39034.0,39034.0
UC San Diego,0.01,0.0,0.01,0.01,1113.0,1113.0
USC,0.01,0.0,0.01,0.01,31841.0,31841.0
Presbyterian,0.01,0.0,0.01,0.01,94.0,94.0
VCU,0.01,0.0,0.01,0.01,17554.0,17554.0
Seton Hall,0.01,0.0,0.01,0.01,11938.0,11938.0
Boise St.,0.01,0.0,0.01,0.01,1385.0,1385.0
Virginia Tech,0.01,0.0,0.01,0.01,55263.0,55158.0
Missouri,0.01,0.0,0.01,0.01,78242.0,78242.0
Villanova,0.01,0.0,0.01,0.01,66835.0,66835.0
Boston College,0.01,0.0,0.01,0.01,5165.0,5165.0
UCF,0.01,0.0,0.01,0.01,19549.0,19549.0
Baylor,0.01,0.0,0.01,0.01,249402.0,246401.0
Loyola Chicago,0.01,0.0,0.01,0.01,1054.0,1054.0
Oregon,0.01,0.0,0.01,0.01,39083.0,39083.0
Pittsburgh,0.01,0.0,0.01,0.01,640.0,640.0
Santa Clara,0.01,0.0,0.01,0.01,17038.0,17038.0
Colorado St.,0.01,0.0,0.01,0.01,1822.0,1822.0
Texas,0.01,0.0,0.01,0.01,39815.0,39815.0
Texas Tech,0.01,0.0,0.01,0.01,2080922.0,1540464.0
Louisville,0.01,0.0,0.01,0.01,506571.0,421420.0
Ohio St.,0.01,0.0,0.01,0.01,63868.0,63868.0
Florida St.,0.01,0.0,0.01,0.01,14917.0,14917.0
St. Bonaventure,0.01,0.0,0.01,0.01,386.0,386.0
Syracuse,0.01,0.0,0.01,0.01,23719.0,23719.0
Miami (FL),0.01,0.0,0.01,0.01,192235.0,192130.0
Notre Dame,0.01,0.0,0.01,0.01,4692.0,4692.0
Miami (OH),0.01,0.0,0.01,0.01,295249.0,295249.0
Longwood,0.01,0.0,0.01,0.01,2.0,2.0
Nevada,0.01,0.0,0.01,0.01,8694.0,8694.0
Charleston Southern,0.01,0.0,0.01,0.01,93.0,93.0
San Diego St.,0.01,0.0,0.01,0.01,74194.0,74089.0
Creighton,0.01,0.0,0.01,0.01,18066.0,18066.0
Dayton,0.01,0.0,0.01,0.01,3070.0,3070.0
Oklahoma,0.01,0.0,0.01,0.01,5019.0,5019.0
North Carolina St.,0.01,0.0,0.01,0.01,603435.0,602042.0
Tennessee,0.01,0.0,0.01,0.01,1132513.0,1110986.0
Mississippi State,0.01,0.0,0.01,0.01,4180.0,4180.0
Indiana,0.01,0.0,0.01,0.01,192935.0,191430.0
Ole Miss,0.01,0.0,0.01,0.01,47832.0,47832.0
Radford,0.01,0.0,0.01,0.01,2.0,2.0
High Point,0.01,0.0,0.01,0.01,814.0,814.0
Memphis,0.01,0.0,0.01,0.01,1481.0,1481.0
Stanford,0.01,0.0,0.01,0.01,2164.0,2164.0
San Francisco,0.01,0.0,0.01,0.01,479.0,479.0
Cincinnati,0.01,0.0,0.01,0.01,5768.0,5768.0
Xavier,0.01,0.0,0.01,0.01,1467.0,1467.0
Kentucky,0.01,0.0,0.01,0.01,540699.0,397164.0
Richmond,0.01,0.0,0.01,0.01,497.0,497.0
Texas A&M,0.01,0.0,0.01,0.01,80761.0,80761.0
Marquette,0.01,0.0,0.01,0.01,9783.0,9783.0
Saint Mary's,0.01,0.0,0.01,0.01,26384.0,26384.0
Georgetown,0.01,0.0,0.01,0.01,12416.0,12311.0
UCLA,0.01,0.0,0.01,0.01,362673.0,263850.0
Iowa,0.01,0.0,0.01,0.01,261895.0,261552.0
SMU,0.01,0.0,0.01,0.01,45990.0,45990.0
Wake Forest,0.01,0.0,0.01,0.01,4541.0,4541.0
Butler,0.01,0.0,0.01,0.01,19137.0,19137.0
Providence,0.01,0.0,0.01,0.01,1128.0,1128.0
Auburn,0.01,0.0,0.01,0.01,219929.0,207929.0
North Carolina,0.01,0.0,0.01,0.01,1319710.0,1094888.0
Alabama,0.01,0.0,0.01,0.01,1842627.0,1751823.0
Clemson,0.01,0.0,0.01,0.01,142506.0,142506.0
Gardner-Webb,0.01,0.0,0.01,0.01,93.0,93.0
UNC Asheville,0.01,0.0,0.01,0.01,1.0,1.0
Nebraska,0.01,0.0,0.01,0.01,1325013.0,1144691.0
Virginia,0.01,0.0,0.01,0.01,846780.0,800943.0
USC Upstate,0.0,0.0,0.01,0.0,0.0,0.0
